,Accession,Location,Collection Date
126,KX838905,USA Miami Florida,23/8/2016
127,KX838906,USA Miami Florida,23/8/2016
128,KX842449,USA Miami Florida,22/6/2016
129,KX856011,Mexico Chiapas,1/1/2016
130,KX879603,Ecuador Esmeraldas,15/4/2016
131,KX879604,Ecuador Esmeraldas,15/4/2016
132,KX893855,Venezuela,25/3/2016
133,KX906952,Honduras,16/4/2016
134,KX922706,USA Miami Florida,5/8/2016
135,KX922707,USA Florida,17/8/2016
136,KY003152,Philippines Iloilo City,1/9/2016
137,KY003153,Italy,15/4/2016
138,KY003154,Italy,15/4/2016
139,KY014295,USA Florida,22/6/2016
140,KY014296,Brazil Rio de Janeiro,18/4/2016
141,KY014297,Brazil Rio de Janeiro,12/4/2016
142,KY014299,USA Miami Florida,4/9/2016
143,KY014300,Dominican Republic Distrito Nacional,20/4/2016
144,KY014302,Dominican Republic Distrito Nacional,21/4/2016
145,KY014303,Dominican Republic Distrito Nacional,11/4/2016
146,KY014304,Dominican Republic Distrito Nacional,18/4/2016
147,KY014305,Dominican Republic Distrito Nacional,5/4/2016
148,KY014306,Honduras Francisco Morazan,10/6/2016
149,KY014307,Brazil Rio de Janeiro,28/3/2016
150,KY014309,Brazil Rio de Janeiro,28/3/2016
151,KY014310,Honduras Francisco Morazan,9/5/2016
152,KY014312,Honduras Francisco Morazan,13/5/2016
153,KY014314,Dominican Republic Distrito Nacional,14/6/2016
154,KY014315,Honduras Francisco Morazan,6/6/2016
155,KY014316,USA Florida,17/8/2016
156,KY014317,Brazil Rio de Janeiro,21/3/2016
157,KY014318,Dominican Republic Distrito Nacional,27/4/2016
158,KY014319,Honduras Francisco Morazan,30/4/2016
159,KY014320,Brazil Rio de Janeiro,23/3/2016
160,KY014321,Dominican Republic Distrito Nacional,11/4/2016
161,KY014322,USA Miami Florida,23/8/2016
162,KY014323,USA Miami Florida,23/8/2016
163,KY014324,USA Miami Florida,22/8/2016
164,KY014325,USA Florida,2/8/2016
165,KY014327,Honduras Francisco Morazan,9/6/2016
166,KY075932,USA Florida,22/3/2016
167,KY075933,USA Florida,21/6/2016
168,KY075934,USA Florida,3/7/2016
169,KY075937,USA Florida,9/9/2016
170,KY075938,USA Florida,20/9/2016
171,KY075939,USA Florida,5/10/2016
172,KY120348,Mexico Oaxaca Tehuantepec Isthmus,3/3/2016
173,KY120349,Mexico Oaxaca Tehuantepec Isthmus,3/3/2016
174,KY126350,Taiwan,15/10/2016
175,KY126351,Taiwan,15/5/2016
176,KY131442,Vietnam Long An,15/6/2013
177,KY241671,Singapore,4/9/2016
178,KY241673,Singapore,4/9/2016
179,KY241674,Singapore,5/9/2016
180,KY241675,Singapore,6/9/2016
181,KY241676,Singapore,6/9/2016
182,KY241678,Singapore,7/9/2016
183,KY241679,Singapore,7/9/2016
184,KY241680,Singapore,7/9/2016
185,KY241681,Singapore,8/9/2016
186,KY241682,Singapore,8/9/2016
187,KY241683,Singapore,8/9/2016
188,KY241684,Singapore,8/9/2016
189,KY241685,Singapore,12/9/2016
190,KY241686,Singapore,12/9/2016
191,KY241687,Singapore,13/9/2016
192,KY241688,Singapore,13/9/2016
193,KY241689,Singapore,13/9/2016
194,KY241690,Singapore,13/9/2016
195,KY241691,Singapore,13/9/2016
196,KY241692,Singapore,14/9/2016
197,KY241694,Singapore,19/9/2016
198,KY241695,Singapore,20/9/2016
199,KY241696,Singapore,30/8/2016
200,KY241697,Singapore,27/8/2016
201,KY241698,Singapore,26/8/2016
202,KY241700,Singapore,27/8/2016
203,KY241704,Singapore,27/8/2016
204,KY241706,Singapore,28/8/2016
205,KY241707,Singapore,28/8/2016
206,KY241713,Singapore,28/8/2016
207,KY241714,Singapore,28/8/2016
208,KY241716,Singapore,28/8/2016
209,KY241719,Singapore,29/8/2016
210,KY241720,Singapore,29/8/2016
211,KY241721,Singapore,28/8/2016
212,KY241722,Singapore,28/8/2016
213,KY241725,Singapore,26/8/2016
214,KY241726,Singapore,28/8/2016
215,KY241727,Singapore,28/8/2016
216,KY241729,Singapore,29/8/2016
217,KY241730,Singapore,27/8/2016
218,KY241731,Singapore,30/8/2016
219,KY241733,Singapore,28/8/2016
220,KY241734,Singapore,28/8/2016
221,KY241736,Singapore,29/8/2016
222,KY241737,Singapore,28/8/2016
223,KY241738,Singapore,30/8/2016
224,KY241740,Singapore,29/8/2016
225,KY241741,Singapore,28/8/2016
226,KY241744,Singapore,28/8/2016
227,KY241748,Singapore,28/8/2016
228,KY241749,Singapore,28/8/2016
229,KY241750,Singapore,28/8/2016
230,KY241751,Singapore,28/8/2016
231,KY241753,Singapore,26/8/2016
232,KY241754,Singapore,7/9/2016
233,KY241756,Singapore,5/9/2016
234,KY241758,Singapore,30/8/2016
235,KY241763,Singapore,2/9/2016
236,KY241766,Singapore,15/9/2016
237,KY241767,Singapore,7/9/2016
238,KY241772,Singapore,30/8/2016
239,KY241773,Singapore,7/9/2016
240,KY241774,Singapore,5/9/2016
241,KY241775,Singapore,5/9/2016
242,KY241776,Singapore,5/9/2016
243,KY241777,Singapore,6/9/2016
244,KY241778,Singapore,6/9/2016
245,KY241779,Singapore,6/9/2016
246,KY241780,Singapore,6/9/2016
247,KY241781,Singapore,6/9/2016
248,KY241782,Singapore,7/9/2016
249,KY241783,Singapore,7/9/2016
250,KY241784,Singapore,8/9/2016
251,KY241785,Singapore,5/9/2016
252,KY241786,Singapore,6/9/2016
253,KY241787,Singapore,7/9/2016
254,KY241788,Singapore,13/5/2016
255,KY272987,Thailand,30/8/2016
256,KY272991,Brazil,12/2/2016
257,KY288905,Uganda,15/11/1962
258,KY293644,New Zeland,21/2/2016
259,KY317936,Colombia,16/1/2016
260,KY317937,Colombia,7/1/2016
261,KY317938,Colombia,10/1/2016
262,KY317940,Colombia,9/1/2016
263,KY325464,USA Florida,19/9/2016
264,KY325465,USA Florida,28/9/2016
265,KY325467,USA Florida,29/7/2016
266,KY325468,USA Florida,4/8/2016
267,KY325469,USA Florida,4/8/2016
268,KY325472,USA Florida,23/8/2016
269,KY325473,USA Florida,31/8/2016
270,KY325476,USA Florida,11/10/2016
271,KY325477,USA Florida,3/10/2016
272,KY325479,USA Florida,28/9/2016
273,KY328289,Honduras,15/5/2016
274,KY348640,Suriname,22/1/2016
275,KY354186,Brazil Manguinhos Rio de Janeiro,15/4/2015
276,KY379148,China,29/2/2016
277,KY415988,Haiti,5/6/2014
278,KY415990,Haiti,2/6/2014
279,KY415991,Haiti,24/6/2014
280,KY441401,Brazil,29/2/2016
281,KY441402,Brazil,5/4/2016
282,KY441403,Brazil,11/1/2016
283,KY553111,South Korea,15/4/2016
284,KY558999,Pernambuco,10/7/2016
285,KY559012,Brazil Ribeirao Preto Sao Paulo,19/4/2016
286,KY576904,Central African Republic,1/6/1989
287,KY606271,Mexico Chiapas,5/3/2016
288,KY606272,Mexico Oaxaca,5/8/2016
289,KY606273,Mexico Guerrero,30/6/2016
290,KY606274,Mexico Guerrero,7/7/2016
291,KY631492,Brazil Manaus Amazon State,8/1/2016
292,KY631493,Mexico Tapachula Chiapas,15/10/2015
293,KY631494,Mexico Tapachula Chiapas,15/10/2015
294,KY648934,Mexico Chiapas,1/6/2016
295,KY693676,Honduras,26/8/2016
296,KY693677,Honduras,26/8/2016
297,KY693678,Peru,28/6/2016
298,KY693679,Peru,11/7/2016
299,KY693680,Venezuela,19/10/2016
300,KY765317,Nicaragua Managua,29/6/2016
301,KY765318,Nicaragua Managua,10/7/2016
302,KY765320,Nicaragua Managua,29/5/2016
303,KY765321,Nicaragua Managua,10/7/2016
304,KY765322,Nicaragua Managua,29/6/2016
305,KY765323,Nicaragua Managua,30/6/2016
306,KY765324,Nicaragua Managua,7/7/2016
307,KY765326,Nicaragua Managua,30/6/2016
308,KY765327,Nicaragua Managua,22/4/2016
309,KY785415,Dominican Republic Distrito Nacional,11/4/2016
310,KY785418,Honduras Francisco Morazan,13/5/2016
311,KY785419,Jamaica,13/6/2016
312,KY785420,Dominican Republic Distrito Nacional,18/4/2016
313,KY785422,USA Miami Florida,9/9/2016
314,KY785423,Dominican Republic Distrito Nacional,5/4/2016
315,KY785427,Brazil Rio de Janeiro,30/3/2016
316,KY785429,Brazil Rio de Janeiro,14/4/2016
317,KY785435,Dominican Republic,7/7/2016
318,KY785441,Dominican Republic Distrito Nacional,13/6/2016
319,KY785442,Honduras Francisco Morazan,4/6/2016
320,KY785445,USA Florida,19/7/2016
321,KY785448,Honduras Francisco Morazan,10/6/2016
322,KY785450,Brazil Rio de Janeiro,12/4/2016
323,KY785452,Honduras Francisco Morazan,7/6/2016
324,KY785455,Brazil Rio de Janeiro,6/4/2016
325,KY785456,Brazil Rio de Janeiro,15/4/2016
326,KY785464,Puerto Rico,13/4/2016
327,KY785465,Dominican Republic Distrito Nacional,7/4/2016
328,KY785468,USA Miami Florida,5/10/2016
329,KY785469,Colombia Santander,5/4/2016
330,KY785472,USA Miami Florida,20/9/2016
331,KY785475,Dominican Republic Distrito Nacional,7/4/2016
332,KY785476,Dominican Republic Distrito Nacional,18/4/2016
333,KY785484,Dominican Republic,6/6/2016
334,KY921911,Singapore,1/6/2016
335,KY927808,China Henan,15/9/2016
336,KY989971,Colombia,15/12/2015
337,LC171327,Japan,20/7/2016
338,LC190723,JapanKanagawa Yokohama,20/5/2016
339,LC191864,JapanChiba,21/4/2016
340,LC219720,Japan,22/11/2016
341,LC331561,Japan Tokyo,1/6/2016
342,LC369584,Japankanagawa Sagamihara,1/6/2017
343,MF036115,China,2/11/2016
344,MF073357,Brazil,1/2/2016
345,MF073358,Brazil,1/6/2015
346,MF073359,Brazil,1/3/2015
347,MF098766,Russia,31/5/2016
348,MF098769,Russia,25/8/2016
349,MF098771,Russia,30/1/2017
350,MF159531,USA,19/4/2017
351,MF167360,China,26/2/2016
352,MF173411,India,14/11/2016
353,MF352141,Brazil Pernambuco,13/5/2015
354,MF384325,Haiti,17/5/2016
355,MF434516,Nicaragua Managua,5/8/2016
356,MF434517,Nicaragua Managua,19/8/2016
357,MF434521,Nicaragua Managua,19/7/2016
358,MF434522,Nicaragua Managua,29/8/2016
359,MF438286,Cuba,12/2/2017
360,MF510857,Senegal,12/6/1984
361,MF574552,Colombia Barranquilla,15/12/2015
362,MF574559,Colombia Barranquilla,15/12/2015
363,MF574565,Colombia Barranquilla,15/12/2015
364,MF574566,Colombia Barranquilla,15/12/2015
365,MF574567,Colombia Barranquilla,15/12/2015
366,MF574570,Colombia Barranquilla,15/12/2015
367,MF574571,Colombia Barranquilla,15/12/2015
368,MF574572,Colombia Barranquilla,15/12/2015
369,MF574575,Colombia Barranquilla,15/12/2015
370,MF574577,Colombia Barranquilla,15/12/2015
371,MF574578,Colombia Barranquilla,15/12/2016
372,MF574579,Colombia Barranquilla,15/12/2016
373,MF574583,Colombia Barranquilla,15/12/2016
374,MF574584,Colombia Barranquilla,15/12/2016
375,MF574585,Colombia Barranquilla,15/12/2016
376,MF574586,Colombia Barranquilla,15/12/2016
377,MF574587,Colombia Barranquilla,15/12/2016
378,MF574588,Colombia Barranquilla,15/12/2016
379,MF629796,Nigeria,5/4/2011
380,MF629797,Nigeria,5/7/2013
381,MF629798,Senegal,10/7/2013
382,MF629799,Senegal,11/11/2000
383,MF664436,Russia Moscow,25/8/2016
384,MF692778,Taiwan,15/10/2016
385,MF783072,Haiti,27/6/2016
386,MF783073,Haiti,10/5/2016
387,MF794971,Ecuador,1/5/2016
388,MF801378,Guatemala,21/7/2016
389,MF801381,Honduras,1/6/2016
390,MF801383,Honduras,3/6/2016
391,MF801384,Honduras Roatan,3/2/2016
392,MF801386,Honduras Roatan,24/2/2016
393,MF801387,Honduras Roatan,29/3/2016
394,MF801389,Honduras Roatan,10/5/2016
395,MF801391,Mexico Oaxaca,6/7/2016
396,MF801395,Mexico Chiapas,9/5/2016
397,MF801396,Mexico Chiapas,17/5/2016
398,MF801397,Mexico Campeche,20/5/2016
399,MF801398,Mexico Chiapas,20/5/2016
400,MF801400,Mexico Chiapas,20/5/2016
401,MF801401,Mexico Chiapas,23/5/2016
402,MF801402,Mexico Chiapas,26/5/2016
403,MF801403,Mexico Chiapas,25/5/2016
404,MF801406,Mexico Oaxaca,7/7/2016
405,MF801408,Mexico Chiapas,5/7/2016
406,MF801410,Mexico Guerrero,5/7/2016
407,MF801412,Mexico Guerrero,7/7/2016
408,MF801413,Mexico Guerrero,7/7/2016
409,MF801414,Mexico Guerrero,5/7/2016
410,MF801417,Mexico Chiapas,1/7/2016
411,MF801418,Mexico Chiapas,30/6/2016
412,MF801423,Mexico Guerrero,30/6/2016
413,MF801426,Nicaragua,25/7/2016
414,MF926508,Nigeria,13/10/2016
415,MF988734,Singapore,15/8/2017
416,MF988743,USA Miami Florida,1/9/2016
417,MF996804,Thailand,7/8/2017
418,MG366907,Thailand,27/6/2015
419,MG494697,Mexico Veracruz,24/11/2016
420,MG548660,Thailand,30/11/2016
421,MG548661,Thailand,30/11/2016
422,MG595216,Mexico,23/6/2016
423,MG645981,Thailand,28/10/2006
424,MG674718,China,16/4/2016
425,MG674719,China,16/4/2016
426,MG807646,Thailand,11/11/2016
427,MG807647,Thailand,7/9/2017
428,MG827392,French Polynesia,25/10/2013
429,MG982566,Chile Easter Island,29/4/2014
430,MH013290,Thailand,1/10/2017
431,MH055376,China,1/6/2016
432,MH063261,Cuba,24/9/2017
433,MH063262,Cuba,17/7/2017
434,MH063264,Cuba,13/8/2017
435,MH063265,Cuba,17/7/2017
436,MH119185,Thailand,1/12/2016
437,MH157202,Mexico Tapachula Chiapas,10/8/2016
438,MH157208,Mexico Tapachula Chiapas,22/8/2016
439,MH157213,Mexico Tapachula Chiapas,23/6/2016
440,MH158236,Cambodia,1/6/2010
441,MH158237,Puerto Rico,1/6/2015
442,MH179341,Colombia,10/12/2015
443,MH255601,Singapore,1/9/2016
444,MH368551,Cambodia,14/6/2016
445,MH430252,Vietnam Ho Chi Minh City,21/10/2016
446,MH430253,Vietnam Ho Chi Minh City,22/10/2016
447,MH513598,Brazil Sinop,9/12/2015
448,MH513599,Brazil Sinop,11/12/2015
449,MH513600,Brazil Sinop,11/12/2015
450,MH544701,Colombia,17/1/2016
451,MH882527,Brazil,26/4/2016
452,MH882529,Brazil,3/5/2016
453,MH882530,Brazil,10/5/2016
454,MH882531,Brazil,17/5/2016
455,MH882532,Brazil,24/5/2016
456,MH882533,Brazil,3/6/2016
457,MH882534,Brazil,8/6/2016
458,MH882535,Brazil,16/6/2016
459,MH882536,Brazil,28/6/2016
460,MH882537,Brazil,5/7/2016
461,MH882538,Brazil,12/7/2016
462,MH882539,Brazil,19/7/2016
463,MH882540,Brazil,27/7/2016
464,MH882541,Brazil,19/4/2016
465,MH882542,Brazil,19/4/2016
466,MH882543,Brazil,5/5/2016
467,MH882544,Brazil,12/5/2016
468,MH882546,Brazil,24/5/2016
469,MH882547,Brazil,2/6/2016
470,MH882548,Brazil,9/6/2016
471,MH900227,Mexico Morelos,1/6/2016
472,MK238038,India Jaipur City Rajasthan state,15/10/2018
473,MK241415,Cape Verde,3/12/2015
474,MK241416,Cape Verde,27/11/2015
475,MK241417,Cape Verde,4/6/2016
476,MK829152,Angola,25/5/2017
477,MK829153,Angola,15/6/2017
